Frequency,Magnitude
0.0,1.0658141036401503e-14
0.03278688524590164,5.17285839489188e-31
0.06557377049180328,2.0691433579567524e-31
0.09836065573770492,3.1037150369351284e-31
0.13114754098360656,3.1037150369351284e-31
0.1639344262295082,0.0
0.19672131147540983,1.0345716789783762e-31
0.22950819672131148,1.0345716789783762e-31
0.26229508196721313,2.0691433579567524e-31
0.29508196721311475,1.0345716789783762e-31
0.3278688524590164,2.0691433579567524e-31
0.36065573770491804,5.172858394891881e-32
0.39344262295081966,1.0345716789783762e-31
0.42622950819672134,2.5864291974459405e-32
0.45901639344262296,5.172858394891881e-32
0.49180327868852464,1.0345716789783762e-31
0.5245901639344263,2.5864291974459405e-32
0.5573770491803279,0.0
0.5901639344262295,1.8105004382121583e-31
0.6229508196721312,1.0345716789783762e-31
0.6557377049180328,1.0345716789783762e-31
0.6885245901639344,1.29321459872297e-31
0.7213114754098361,1.29321459872297e-31
0.7540983606557378,1.0345716789783762e-31
0.7868852459016393,5.172858394891881e-32
0.819672131147541,7.759287592337821e-32
0.8524590163934427,7.759287592337821e-32
0.8852459016393444,7.759287592337821e-32
0.9180327868852459,1.0345716789783762e-31
0.9508196721311476,7.759287592337821e-32
0.9836065573770493,7.759287592337821e-32
